wordText,lyricsRank,newYorkTimesRank,rank,googleBooksRank,happs,stdDev,twitterRank
hung,1860,-1,9103,3572,4.08,1.6268,4030
knife,1344,-1,9104,4782,4.08,1.3974,3182
plea,4211,4652,9105,-1,4.08,1.2262,-1
stopping,3233,-1,9106,-1,4.08,1.3974,4826
surrender,1546,-1,9107,4565,4.08,1.6762,-1
temper,-1,-1,9108,4998,4.08,1.7939,-1
wont,1008,-1,9109,-1,4.08,1.0467,1127
cardiac,-1,-1,9110,4163,4.06,1.7249,-1
fading,1547,-1,9111,-1,4.06,1.265,-1
blinding,4487,-1,9112,-1,4.06,1.671,-1
concerns,-1,1708,9113,2345,4.06,1.5572,-1
flushing,-1,3170,9114,-1,4.06,1.4902,-1
haiti,-1,4838,9115,-1,4.06,2.2077,775
kurupt,4913,-1,9116,-1,4.06,1.5308,-1
mondays,-1,4518,9117,-1,4.06,1.7775,4531
prosecutor,-1,2649,9118,-1,4.06,1.6587,-1
sour,3974,-1,9119,-1,4.06,1.5039,2955
test,1204,1141,9120,615,4.06,1.4057,788
toll,3321,4854,9121,-1,4.06,1.0956,4335
unfollow,-1,-1,9122,-1,4.06,1.0577,3498
collide,3619,-1,9123,-1,4.04,1.713,-1
fade,560,-1,9124,-1,4.04,1.3064,-1
needles,4774,-1,9125,-1,4.04,1.9891,-1
chemicals,-1,4539,9126,-1,4.04,1.6777,-1
colder,2962,-1,9127,-1,4.04,1.9583,-1
concern,4228,1079,9128,1458,4.04,1.6157,-1
discharge,-1,-1,9129,3000,4.04,1.7838,-1
dominated,-1,4911,9130,4329,4.04,1.5248,-1
fall,200,791,9131,790,4.04,1.9687,389
hollow,1886,-1,9132,-1,4.04,1.4422,-1
hospice,-1,3321,9133,-1,4.04,1.8401,-1
hunter,4374,2996,9134,-1,4.04,1.7608,-1
imposed,-1,3878,9135,3080,4.04,1.1773,-1
reduction,-1,2753,9136,1813,4.04,1.293,-1
shootin,4792,-1,9137,-1,4.04,2.1942,-1
spittin,4143,-1,9138,-1,4.04,2.0098,-1
unknown,1890,4738,9139,1952,4.04,1.5113,3737
